240.0,100.0,green
230.0,20.0,green
260.0,140.0,red
270.0,120.0,green
250.0,100.0,green
210.0,140.0,red
190.0,0.0,green
210.0,40.0,green
240.0,20.0,green
190.0,100.0,red
240.0,80.0,green
180.0,60.0,red
180.0,140.0,red
170.0,100.0,red
280.0,0.0,green
200.0,140.0,red
250.0,80.0,green
170.0,60.0,red
280.0,80.0,green
270.0,140.0,green
170.0,120.0,red
230.0,0.0,green
270.0,0.0,green
180.0,100.0,red
240.0,60.0,green
210.0,0.0,green
190.0,60.0,green
280.0,40.0,green
280.0,120.0,green
200.0,40.0,green
260.0,20.0,green
190.0,120.0,red
220.0,80.0,green
220.0,140.0,red
260.0,120.0,green
170.0,20.0,green
270.0,20.0,green
180.0,120.0,red
200.0,20.0,green
220.0,0.0,green
240.0,140.0,red
240.0,120.0,red
200.0,0.0,green
260.0,80.0,green
260.0,0.0,green
270.0,60.0,green
190.0,20.0,green
260.0,100.0,green
250.0,40.0,green
170.0,140.0,red
180.0,40.0,green
240.0,0.0,green
260.0,60.0,green
170.0,40.0,red
180.0,20.0,green
220.0,120.0,red
230.0,120.0,red
280.0,140.0,green
200.0,120.0,red
210.0,100.0,red
190.0,140.0,red
200.0,60.0,green
250.0,120.0,green
220.0,60.0,green
220.0,20.0,green
270.0,80.0,green
180.0,80.0,red
190.0,80.0,red
210.0,80.0,green
250.0,0.0,green
230.0,80.0,green
280.0,20.0,green
210.0,20.0,green
270.0,100.0,green
250.0,140.0,red
250.0,60.0,green
230.0,100.0,green
240.0,40.0,green
230.0,60.0,green
190.0,40.0,green
260.0,40.0,green
280.0,60.0,green
210.0,60.0,green
220.0,40.0,green
180.0,0.0,green
230.0,140.0,red
230.0,40.0,green
170.0,0.0,green
210.0,120.0,red
270.0,40.0,green
280.0,100.0,green
200.0,100.0,red
250.0,20.0,green
